Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;10.13.54.49
2;2;1;1;10.13.54.1
3;3;1;2;10.13.102.9
4;4;1;2;10.13.99.1
5;5;12;12;154.126.200.245
6;6;11;12;154.126.208.98
7;7;12;12;154.126.208.97
8;8;12;12;154.126.202.234
9;9;12;12;154.126.223.53
10;10;12;12;197.157.78.109
11;11;168;168;41.78.188.133
12;12;169;550;62.157.249.206
13;13;259;258;62.154.5.193
14;14;256;258;62.159.61.87
15;15;*;*;*
16;16;*;*;*
17;17;*;*;*
18;18;*;*;*
19;19;*;*;*
20;20;253;253;205.251.242.103
21;21;*;*;*
22;22;*;*;*
23;23;*;*;*
24;24;*;*;*
25;25;*;*;*
26;26;*;*;*
27;27;*;*;*
28;28;*;*;*
29;29;*;*;*
30;30;*;*;*
