Pinterest;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;10.13.54.49
2;1;1;1;10.13.54.1
3;1;1;2;10.13.102.9
4;1;1;1;10.13.99.1
5;11;11;11;154.126.200.245
6;11;11;11;154.126.208.98
7;12;12;12;154.126.208.97
8;12;11;12;154.126.202.234
9;11;11;12;154.126.223.53
10;12;12;12;154.66.180.181
11;28;27;27;197.148.71.165
12;28;28;29;196.60.70.103
13;30;30;30;151.101.0.84
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
