Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;192.168.20.1
2;17;7;10;41.207.188.1
3;2;2;1;41.207.161.58
4;2;2;2;41.207.161.57
5;*;*;*;*
6;2;2;2;41.207.161.62
7;2;4;2;102.211.168.1
8;*;*;*;*
9;73;73;73;172.20.1.4
10;73;73;73;172.20.1.4
11;*;*;*;*
12;83;81;84;154.54.61.214
13;91;91;91;154.54.61.101
14;166;166;166;154.54.85.241
15;166;166;166;154.54.85.241
16;*;*;*;*
17;172;167;166;38.140.146.178
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;174;173;174;54.239.28.85
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
