Instagram;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;192.168.20.1
2;5;13;13;41.207.188.1
3;1;3;1;41.207.161.58
4;3;1;2;41.207.161.57
5;84;94;86;196.60.10.3
6;81;86;81;129.134.39.120
7;80;80;79;129.134.80.149
8;*;*;*;*
9;80;80;80;173.252.67.179
10;80;80;80;173.252.67.179
11;80;80;80;102.132.104.174
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
