Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;6;6;6;208.115.124.73
2;5;6;6;10.20.30.113
3;5;6;6;216.244.89.0
4;5;5;6;216.244.88.176
5;6;6;7;38.142.48.25
6;25;25;26;154.54.86.109
7;34;34;35;154.54.45.165
8;50;50;50;154.54.162.106
9;50;50;50;154.54.47.214
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;77;78;79;54.239.28.85
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
