Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;2;139.99.124.252
2;2;2;2;10.133.2.80
3;1;1;1;10.75.0.8
4;2;2;2;10.75.248.14
5;*;*;*;*
6;2;3;3;10.200.0.219
7;*;*;*;*
8;*;*;*;*
9;*;*;*;*
10;*;*;*;*
11;213;213;213;129.250.7.68
12;212;212;212;129.250.3.47
13;216;216;216;129.250.201.10
14;211;211;211;54.239.105.109
15;*;*;*;*
16;211;211;211;52.93.34.155
17;215;215;215;15.230.48.42
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
