Instagram;;;;
#;Tiempo de respuesta;;;Direccion ip
1;14;17;17;139.99.124.252
2;18;18;19;10.133.2.80
3;17;18;18;10.75.0.46
4;17;18;18;10.75.248.14
5;*;*;*;*
6;17;17;17;10.200.0.196
7;17;17;18;27.111.230.199
8;15;17;17;129.134.98.112
9;17;17;17;157.240.61.244
10;17;16;17;157.240.38.233
11;17;19;19;157.240.7.174
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
